production_order_id,part_id,lot_id,production_timestamp,quantity,machine_id,operator_id,shift,plant_code,status
PO000041,PART-036,LOT-00041,2024-01-05 10:56:00,45,M018,OP002,1,PLANT1,delayed
PO000042,PART-016,LOT-00042,2024-01-08 13:39:00,228,M016,OP062,1,PLANT1,in_progress
PO000043,PART-004,LOT-00043,2024-01-08 11:49:00,214,M001,OP050,1,PLANT2,delayed
PO000044,PART-030,LOT-00044,2024-01-13 23:34:00,236,M018,OP085,3,PLANT3,completed
PO000045,PART-013,LOT-00045,2024-01-14 12:05:00,131,M002,OP075,1,PLANT3,completed
PO000046,PART-048,LOT-00046,2024-01-15 06:32:00,49,M002,OP075,1,PLANT2,completed
PO000047,PART-034,LOT-00047,2024-01-08 03:57:00,49,M017,OP011,3,PLANT1,completed
PO000048,PART-005,LOT-00048,2024-01-11 16:54:00,226,M004,OP073,2,PLANT1,completed
PO000049,PART-003,LOT-00049,2024-01-29 04:31:00,61,M014,OP085,3,PLANT3,completed
PO000050,PART-021,LOT-00050,2024-01-12 20:49:00,124,M011,OP031,2,PLANT2,completed
PO000051,PART-043,LOT-00051,2024-01-30 09:03:00,173,M015,OP041,1,PLANT1,completed
PO000052,PART-040,LOT-00052,2024-01-26 14:56:00,71,M003,OP069,2,PLANT1,completed
PO000053,PART-009,LOT-00053,2024-01-16 21:12:00,471,M003,OP032,2,PLANT2,completed
PO000054,PART-029,LOT-00054,2024-01-25 17:20:00,380,M010,OP079,2,PLANT3,completed
PO000055,PART-043,LOT-00055,2024-01-26 05:46:00,173,M004,OP018,3,PLANT2,completed
PO000056,PART-007,LOT-00056,2024-01-26 04:16:00,99,M009,OP037,3,PLANT3,completed
PO000057,PART-022,LOT-00057,2024-01-10 06:22:00,371,M009,OP065,1,PLANT2,completed
PO000058,PART-004,LOT-00058,2024-01-05 04:48:00,344,M014,OP036,3,PLANT1,completed
PO000059,PART-050,LOT-00059,2024-01-06 22:53:00,346,M009,OP021,3,PLANT3,completed
PO000060,PART-046,LOT-00060,2024-01-20 11:08:00,307,M001,OP015,1,PLANT1,delayed
PO000061,PART-045,LOT-00061,2024-01-07 18:48:00,299,M002,OP048,2,PLANT3,completed
PO000062,PART-028,LOT-00062,2024-01-06 19:12:00,41,M010,OP047,2,PLANT1,in_progress
PO000063,PART-014,LOT-00063,2024-01-12 08:33:00,361,M004,OP046,1,PLANT3,in_progress
PO000064,PART-027,LOT-00064,2024-01-29 05:55:00,403,M005,OP031,3,PLANT1,delayed
PO000065,PART-012,LOT-00065,2024-01-19 18:20:00,32,M006,OP095,2,PLANT2,completed
PO000066,PART-027,LOT-00066,2024-01-12 07:03:00,156,M006,OP090,1,PLANT1,completed
PO000067,PART-003,LOT-00067,2024-01-22 10:07:00,133,M007,OP059,1,PLANT2,completed
PO000068,PART-015,LOT-00068,2024-01-11 03:29:00,32,M007,OP052,3,PLANT2,completed
PO000069,PART-005,LOT-00069,2024-01-13 16:52:00,199,M017,OP052,2,PLANT3,delayed
PO000070,PART-035,LOT-00070,2024-01-16 01:42:00,500,M001,OP015,3,PLANT2,completed
PO000071,PART-017,LOT-00071,2024-01-02 17:47:00,75,M020,OP056,2,PLANT2,completed
PO000072,PART-021,LOT-00072,2024-01-20 20:39:00,330,M017,OP015,2,PLANT2,in_progress
PO000073,PART-013,LOT-00073,2024-01-12 14:13:00,42,M014,OP001,2,PLANT3,delayed
PO000074,PART-035,LOT-00074,2024-01-09 23:12:00,206,M014,OP009,3,PLANT3,delayed
PO000075,PART-040,LOT-00075,2024-01-15 06:52:00,359,M004,OP093,1,PLANT2,completed
PO000076,PART-043,LOT-00076,2024-01-19 14:04:00,187,M013,OP090,2,PLANT2,completed
PO000077,PART-013,LOT-00077,2024-01-20 03:14:00,360,M013,OP087,3,PLANT3,delayed
PO000078,PART-040,LOT-00078,2024-01-26 21:36:00,174,M013,OP071,2,PLANT1,completed
PO000079,PART-014,LOT-00079,2024-01-20 13:33:00,422,M019,OP078,1,PLANT3,completed
PO000080,PART-029,LOT-00080,2024-01-21 02:57:00,365,M007,OP066,3,PLANT2,completed
PO000081,PART-048,LOT-00081,2024-01-08 17:20:00,357,M003,OP037,2,PLANT3,completed
PO000082,PART-040,LOT-00082,2024-01-16 06:06:00,67,M008,OP087,1,PLANT2,completed
PO000083,PART-013,LOT-00083,2024-01-07 16:56:00,32,M002,OP032,2,PLANT2,completed
PO000084,PART-050,LOT-00084,2024-01-04 07:32:00,253,M014,OP081,1,PLANT3,completed
PO000085,PART-045,LOT-00085,2024-01-18 11:24:00,273,M013,OP032,1,PLANT1,completed
PO000086,PART-001,LOT-00086,2024-01-05 20:25:00,418,M014,OP029,2,PLANT1,in_progress
PO000087,PART-045,LOT-00087,2024-01-24 13:44:00,257,M002,OP072,1,PLANT1,delayed
PO000088,PART-008,LOT-00088,2024-01-21 18:34:00,88,M015,OP086,2,PLANT3,delayed
PO000089,PART-039,LOT-00089,2024-01-15 10:34:00,406,M015,OP079,1,PLANT3,in_progress
PO000090,PART-028,LOT-00090,2024-01-25 22:25:00,248,M006,OP096,3,PLANT2,completed
PO000091,PART-049,LOT-00091,2024-01-12 06:03:00,450,M009,OP099,1,PLANT3,completed
PO000092,PART-016,LOT-00092,2024-01-13 11:56:00,245,M003,OP092,1,PLANT2,completed
PO000093,PART-022,LOT-00093,2024-01-15 13:12:00,477,M018,OP011,1,PLANT1,completed
PO000094,PART-025,LOT-00094,2024-01-07 22:54:00,381,M007,OP009,3,PLANT2,completed
PO000095,PART-035,LOT-00095,2024-01-22 04:54:00,232,M002,OP027,3,PLANT2,completed
PO000096,PART-050,LOT-00096,2024-01-27 13:58:00,376,M001,OP098,1,PLANT3,completed
PO000097,PART-001,LOT-00097,2024-01-17 00:12:00,172,M013,OP054,3,PLANT3,completed
PO000098,PART-035,LOT-00098,2024-01-28 10:54:00,479,M008,OP063,1,PLANT1,completed
PO000099,PART-032,LOT-00099,2024-01-02 07:42:00,219,M011,OP086,1,PLANT3,completed
PO000100,PART-047,LOT-00100,2024-01-08 12:16:00,450,M015,OP017,1,PLANT3,completed
PO000101,PART-026,LOT-00101,2024-01-27 22:30:00,308,M001,OP011,3,PLANT3,completed
PO000102,PART-030,LOT-00102,2024-01-09 06:29:00,45,M009,OP049,1,PLANT2,completed
PO000103,PART-021,LOT-00103,2024-01-16 08:38:00,409,M013,OP036,1,PLANT2,completed
PO000104,PART-006,LOT-00104,2024-01-22 09:42:00,29,M018,OP007,1,PLANT2,completed
PO000105,PART-005,LOT-00105,2024-01-30 15:53:00,40,M001,OP032,2,PLANT1,in_progress
PO000106,PART-040,LOT-00106,2024-01-07 22:26:00,142,M005,OP061,3,PLANT3,completed
PO000107,PART-014,LOT-00107,2024-01-22 03:56:00,378,M009,OP099,3,PLANT2,completed
PO000108,PART-039,LOT-00108,2024-01-06 05:06:00,418,M006,OP040,3,PLANT1,completed
PO000109,PART-020,LOT-00109,2024-01-27 04:55:00,366,M013,OP051,3,PLANT3,completed
PO000110,PART-038,LOT-00110,2024-01-29 13:06:00,144,M004,OP090,1,PLANT2,in_progress
PO000111,PART-039,LOT-00111,2024-01-06 12:13:00,427,M019,OP006,1,PLANT2,completed
PO000112,PART-043,LOT-00112,2024-01-17 20:45:00,55,M017,OP083,2,PLANT2,completed
PO000113,PART-027,LOT-00113,2024-01-23 07:25:00,74,M014,OP047,1,PLANT3,in_progress
PO000114,PART-030,LOT-00114,2024-01-07 23:06:00,242,M006,OP094,3,PLANT3,delayed
PO000115,PART-018,LOT-00115,2024-01-29 00:44:00,433,M018,OP100,3,PLANT2,completed
PO000116,PART-047,LOT-00116,2024-01-27 23:08:00,157,M011,OP032,3,PLANT1,completed
PO000117,PART-029,LOT-00117,2024-01-12 02:21:00,404,M015,OP073,3,PLANT3,completed
PO000118,PART-022,LOT-00118,2024-01-02 07:20:00,273,M011,OP024,1,PLANT2,completed
PO000119,PART-017,LOT-00119,2024-01-16 11:44:00,163,M020,OP090,1,PLANT2,completed
PO000120,PART-034,LOT-00120,2024-01-09 16:41:00,63,M008,OP093,2,PLANT2,completed
PO000121,PART-049,LOT-00121,2024-01-11 22:29:00,373,M016,OP083,3,PLANT3,completed
PO000122,PART-002,LOT-00122,2024-01-05 05:38:00,170,M008,OP052,3,PLANT3,completed
PO000123,PART-043,LOT-00123,2024-01-27 11:12:00,208,M016,OP071,1,PLANT3,completed
PO000124,PART-048,LOT-00124,2024-01-26 01:10:00,189,M012,OP090,3,PLANT2,completed
PO000125,PART-017,LOT-00125,2024-01-11 11:48:00,81,M007,OP041,1,PLANT1,completed
PO000126,PART-049,LOT-00126,2024-01-09 10:13:00,118,M007,OP095,1,PLANT2,completed
PO000127,PART-038,LOT-00127,2024-01-24 21:02:00,325,M010,OP013,2,PLANT1,completed
PO000128,PART-024,LOT-00128,2024-01-09 03:59:00,174,M001,OP091,3,PLANT3,completed
PO000129,PART-003,LOT-00129,2024-01-03 11:33:00,303,M010,OP090,1,PLANT1,completed
PO000130,PART-049,LOT-00130,2024-01-23 08:10:00,72,M001,OP074,1,PLANT2,completed
PO000131,PART-029,LOT-00131,2024-01-16 12:08:00,114,M002,OP033,1,PLANT2,completed
PO000132,PART-005,LOT-00132,2024-01-19 05:40:00,271,M003,OP074,3,PLANT3,completed
PO000133,PART-010,LOT-00133,2024-01-07 18:57:00,435,M019,OP039,2,PLANT1,delayed
PO000134,PART-008,LOT-00134,2024-01-26 09:33:00,411,M014,OP078,1,PLANT3,completed
PO000135,PART-015,LOT-00135,2024-01-24 18:47:00,214,M015,OP057,2,PLANT2,in_progress
PO000136,PART-028,LOT-00136,2024-01-14 21:33:00,311,M020,OP008,2,PLANT3,delayed
PO000137,PART-007,LOT-00137,2024-01-10 10:57:00,340,M007,OP034,1,PLANT3,completed
PO000138,PART-016,LOT-00138,2024-01-08 21:51:00,302,M003,OP021,2,PLANT1,completed
PO000139,PART-045,LOT-00139,2024-01-28 00:36:00,260,M010,OP005,3,PLANT1,completed
PO000140,PART-019,LOT-00140,2024-01-21 15:55:00,56,M008,OP034,2,PLANT3,completed
PO000141,PART-013,LOT-00141,2024-01-20 08:21:00,78,M018,OP029,1,PLANT3,completed
PO000142,PART-018,LOT-00142,2024-01-07 11:21:00,56,M002,OP022,1,PLANT2,completed
PO000143,PART-037,LOT-00143,2024-01-14 03:14:00,244,M004,OP060,3,PLANT3,completed
PO000144,PART-026,LOT-00144,2024-01-13 09:21:00,276,M018,OP064,1,PLANT2,completed
PO000145,PART-003,LOT-00145,2024-01-20 15:53:00,396,M011,OP078,2,PLANT2,completed
PO000146,PART-015,LOT-00146,2024-01-27 04:16:00,320,M001,OP098,3,PLANT3,in_progress
PO000147,PART-037,LOT-00147,2024-01-02 19:56:00,410,M006,OP061,2,PLANT3,completed
PO000148,PART-018,LOT-00148,2024-01-09 06:14:00,319,M014,OP082,1,PLANT2,delayed
PO000149,PART-031,LOT-00149,2024-01-16 20:03:00,229,M011,OP042,2,PLANT3,completed
PO000150,PART-011,LOT-00150,2024-01-16 00:14:00,230,M016,OP037,3,PLANT3,delayed
PO000151,PART-049,LOT-00151,2024-01-26 00:51:00,38,M015,OP012,3,PLANT2,completed
PO000152,PART-008,LOT-00152,2024-01-19 09:28:00,462,M017,OP001,1,PLANT3,in_progress
PO000153,PART-030,LOT-00153,2024-01-19 19:22:00,47,M007,OP067,2,PLANT2,completed
PO000154,PART-032,LOT-00154,2024-01-29 11:06:00,246,M002,OP027,1,PLANT2,completed
PO000155,PART-019,LOT-00155,2024-01-20 22:32:00,470,M016,OP016,3,PLANT1,delayed
PO000156,PART-039,LOT-00156,2024-01-11 21:22:00,383,M006,OP040,2,PLANT3,completed
PO000157,PART-027,LOT-00157,2024-01-05 05:48:00,135,M004,OP060,3,PLANT1,completed
PO000158,PART-010,LOT-00158,2024-01-23 16:21:00,497,M010,OP066,2,PLANT3,completed
PO000159,PART-031,LOT-00159,2024-01-22 11:47:00,144,M015,OP071,1,PLANT1,completed
PO000160,PART-039,LOT-00160,2024-01-24 03:08:00,402,M005,OP009,3,PLANT2,completed
PO000161,PART-027,LOT-00161,2024-01-16 11:14:00,498,M017,OP035,1,PLANT1,completed
PO000162,PART-020,LOT-00162,2024-01-27 17:05:00,316,M016,OP020,2,PLANT2,completed
PO000163,PART-023,LOT-00163,2024-01-16 03:06:00,302,M018,OP049,3,PLANT2,delayed
PO000164,PART-013,LOT-00164,2024-01-11 20:50:00,312,M013,OP030,2,PLANT2,completed
PO000165,PART-048,LOT-00165,2024-01-22 12:36:00,381,M013,OP050,1,PLANT3,completed
PO000166,PART-042,LOT-00166,2024-01-07 22:08:00,273,M002,OP017,3,PLANT3,delayed
PO000167,PART-022,LOT-00167,2024-01-05 13:37:00,467,M015,OP013,1,PLANT3,delayed
PO000168,PART-001,LOT-00168,2024-01-07 13:27:00,229,M005,OP010,1,PLANT2,completed
PO000169,PART-017,LOT-00169,2024-01-16 09:47:00,339,M013,OP084,1,PLANT1,in_progress
PO000170,PART-044,LOT-00170,2024-01-25 06:51:00,214,M011,OP081,1,PLANT3,in_progress
PO000171,PART-032,LOT-00171,2024-01-25 14:56:00,38,M020,OP009,2,PLANT1,completed
PO000172,PART-019,LOT-00172,2024-01-11 08:28:00,402,M003,OP056,1,PLANT1,completed
PO000173,PART-046,LOT-00173,2024-01-05 13:46:00,247,M006,OP089,1,PLANT2,delayed
PO000174,PART-003,LOT-00174,2024-01-15 18:18:00,427,M002,OP038,2,PLANT2,completed
PO000175,PART-010,LOT-00175,2024-01-12 02:43:00,291,M014,OP073,3,PLANT3,completed
PO000176,PART-011,LOT-00176,2024-01-08 23:13:00,60,M020,OP049,3,PLANT3,completed
PO000177,PART-032,LOT-00177,2024-01-27 12:57:00,93,M008,OP060,1,PLANT3,completed
PO000178,PART-017,LOT-00178,2024-01-01 10:15:00,480,M015,OP037,1,PLANT3,completed
PO000179,PART-005,LOT-00179,2024-01-21 02:29:00,196,M019,OP039,3,PLANT3,delayed
PO000180,PART-045,LOT-00180,2024-01-12 09:10:00,253,M010,OP026,1,PLANT2,in_progress
PO000181,PART-007,LOT-00181,2024-01-11 19:05:00,215,M019,OP046,2,PLANT3,completed
PO000182,PART-045,LOT-00182,2024-01-14 10:28:00,31,M013,OP036,1,PLANT1,completed
PO000183,PART-044,LOT-00183,2024-01-03 05:34:00,486,M020,OP096,3,PLANT2,in_progress
PO000184,PART-019,LOT-00184,2024-01-11 11:21:00,330,M012,OP029,1,PLANT3,completed
PO000185,PART-017,LOT-00185,2024-01-31 00:00:00,368,M005,OP081,3,PLANT1,delayed
PO000186,PART-042,LOT-00186,2024-01-02 19:03:00,178,M015,OP005,2,PLANT3,completed
PO000187,PART-009,LOT-00187,2024-01-05 02:26:00,485,M010,OP042,3,PLANT3,completed
PO000188,PART-013,LOT-00188,2024-01-07 00:21:00,422,M018,OP047,3,PLANT3,completed
PO000189,PART-018,LOT-00189,2024-01-08 11:43:00,151,M016,OP038,1,PLANT3,in_progress
PO000190,PART-008,LOT-00190,2024-01-22 07:32:00,58,M005,OP097,1,PLANT1,in_progress
PO000191,PART-047,LOT-00191,2024-01-19 02:04:00,453,M018,OP047,3,PLANT1,completed
PO000192,PART-001,LOT-00192,2024-01-13 00:51:00,294,M004,OP059,3,PLANT2,completed
PO000193,PART-044,LOT-00193,2024-01-12 22:21:00,319,M013,OP082,3,PLANT2,completed
PO000194,PART-015,LOT-00194,2024-01-22 10:58:00,32,M020,OP072,1,PLANT2,delayed
PO000195,PART-015,LOT-00195,2024-01-30 11:24:00,52,M015,OP090,1,PLANT2,completed
PO000196,PART-008,LOT-00196,2024-01-07 08:40:00,43,M002,OP039,1,PLANT2,completed
PO000197,PART-016,LOT-00197,2024-01-25 11:08:00,89,M013,OP059,1,PLANT2,completed
PO000198,PART-048,LOT-00198,2024-01-25 14:02:00,234,M019,OP096,2,PLANT3,completed
PO000199,PART-027,LOT-00199,2024-01-30 19:20:00,70,M016,OP079,2,PLANT2,delayed
PO000200,PART-018,LOT-00200,2024-01-02 11:44:00,373,M012,OP028,1,PLANT2,completed
PO000201,PART-016,LOT-00201,2024-01-17 12:08:00,70,M012,OP070,1,PLANT3,completed
PO000202,PART-026,LOT-00202,2024-01-13 13:20:00,117,M004,OP059,1,PLANT1,completed
PO000203,PART-042,LOT-00203,2024-01-30 02:29:00,325,M001,OP007,3,PLANT2,completed
PO000204,PART-009,LOT-00204,2024-01-26 16:40:00,125,M003,OP098,2,PLANT3,completed
PO000205,PART-014,LOT-00205,2024-01-11 14:29:00,188,M005,OP077,2,PLANT1,completed
PO000206,PART-010,LOT-00206,2024-01-06 21:59:00,296,M009,OP023,2,PLANT1,completed
PO000207,PART-002,LOT-00207,2024-01-06 23:57:00,27,M012,OP031,3,PLANT3,completed
PO000208,PART-012,LOT-00208,2024-01-13 01:51:00,46,M005,OP095,3,PLANT2,completed
PO000209,PART-048,LOT-00209,2024-01-03 21:25:00,263,M015,OP100,2,PLANT2,completed
PO000210,PART-007,LOT-00210,2024-01-21 13:42:00,277,M008,OP079,1,PLANT1,completed
PO000211,PART-043,LOT-00211,2024-01-24 17:33:00,174,M015,OP083,2,PLANT1,completed
PO000212,PART-031,LOT-00212,2024-01-19 06:40:00,238,M004,OP063,1,PLANT3,delayed
PO000213,PART-005,LOT-00213,2024-01-04 16:14:00,184,M020,OP019,2,PLANT1,completed
PO000214,PART-040,LOT-00214,2024-01-29 19:29:00,319,M018,OP092,2,PLANT2,completed
PO000215,PART-039,LOT-00215,2024-01-25 03:30:00,170,M015,OP065,3,PLANT3,completed
PO000216,PART-045,LOT-00216,2024-01-06 04:58:00,456,M018,OP093,3,PLANT1,completed
PO000217,PART-015,LOT-00217,2024-01-19 19:59:00,193,M015,OP052,2,PLANT2,completed
PO000218,PART-021,LOT-00218,2024-01-20 10:08:00,180,M009,OP048,1,PLANT1,completed
PO000219,PART-031,LOT-00219,2024-01-04 01:19:00,66,M003,OP012,3,PLANT2,completed
PO000220,PART-048,LOT-00220,2024-01-17 23:01:00,435,M005,OP072,3,PLANT1,completed
PO000221,PART-036,LOT-00221,2024-01-26 13:30:00,188,M004,OP053,1,PLANT2,in_progress
PO000222,PART-049,LOT-00222,2024-01-20 05:57:00,464,M002,OP037,3,PLANT3,completed
PO000223,PART-007,LOT-00223,2024-01-27 07:14:00,279,M007,OP020,1,PLANT3,completed
PO000224,PART-007,LOT-00224,2024-01-16 22:25:00,452,M018,OP048,3,PLANT1,completed
PO000225,PART-037,LOT-00225,2024-01-11 07:01:00,433,M014,OP072,1,PLANT3,completed
PO000226,PART-042,LOT-00226,2024-01-26 08:06:00,33,M020,OP085,1,PLANT3,completed
PO000227,PART-012,LOT-00227,2024-01-13 10:29:00,379,M010,OP044,1,PLANT2,completed
PO000228,PART-010,LOT-00228,2024-01-26 18:34:00,356,M013,OP009,2,PLANT1,completed
PO000229,PART-002,LOT-00229,2024-01-05 04:13:00,402,M017,OP028,3,PLANT2,completed
PO000230,PART-022,LOT-00230,2024-01-08 03:55:00,209,M010,OP093,3,PLANT2,completed
PO000231,PART-037,LOT-00231,2024-01-28 03:14:00,63,M002,OP020,3,PLANT1,completed
PO000232,PART-004,LOT-00232,2024-01-04 17:06:00,159,M015,OP085,2,PLANT2,completed
PO000233,PART-029,LOT-00233,2024-01-19 20:23:00,159,M007,OP097,2,PLANT3,completed
PO000234,PART-028,LOT-00234,2024-01-06 01:07:00,165,M019,OP063,3,PLANT3,completed
PO000235,PART-003,LOT-00235,2024-01-11 00:51:00,222,M020,OP008,3,PLANT1,completed
PO000236,PART-014,LOT-00236,2024-01-07 05:53:00,411,M009,OP038,3,PLANT2,completed
PO000237,PART-032,LOT-00237,2024-01-20 14:23:00,109,M005,OP049,2,PLANT3,completed
PO000238,PART-033,LOT-00238,2024-01-26 10:16:00,446,M012,OP010,1,PLANT2,in_progress
PO000239,PART-003,LOT-00239,2024-01-20 20:28:00,29,M015,OP010,2,PLANT2,completed
PO000240,PART-037,LOT-00240,2024-01-19 09:44:00,383,M014,OP038,1,PLANT1,completed
PO000241,PART-021,LOT-00241,2024-01-08 19:43:00,430,M020,OP059,2,PLANT3,delayed
PO000242,PART-006,LOT-00242,2024-01-20 21:00:00,452,M004,OP032,2,PLANT2,completed
PO000243,PART-034,LOT-00243,2024-01-04 13:54:00,222,M010,OP096,1,PLANT2,completed
PO000244,PART-050,LOT-00244,2024-01-08 15:38:00,59,M017,OP082,2,PLANT1,completed
PO000245,PART-013,LOT-00245,2024-01-16 21:36:00,199,M005,OP031,2,PLANT1,completed
PO000246,PART-013,LOT-00246,2024-01-08 21:30:00,328,M005,OP098,2,PLANT3,completed
PO000247,PART-050,LOT-00247,2024-01-29 13:53:00,272,M015,OP097,1,PLANT3,completed
PO000248,PART-029,LOT-00248,2024-01-26 16:34:00,349,M020,OP042,2,PLANT3,completed
PO000249,PART-029,LOT-00249,2024-01-04 02:35:00,260,M015,OP081,3,PLANT2,completed
PO000250,PART-038,LOT-00250,2024-01-03 13:21:00,200,M017,OP010,1,PLANT2,completed
PO000251,PART-003,LOT-00251,2024-01-03 14:08:00,208,M010,OP010,2,PLANT3,in_progress
PO000252,PART-006,LOT-00252,2024-01-28 23:45:00,324,M017,OP050,3,PLANT2,completed
PO000253,PART-048,LOT-00253,2024-01-02 20:48:00,250,M019,OP084,2,PLANT1,completed
PO000254,PART-031,LOT-00254,2024-01-23 19:37:00,97,M002,OP058,2,PLANT1,in_progress
PO000255,PART-022,LOT-00255,2024-01-04 20:06:00,278,M006,OP006,2,PLANT1,completed
PO000256,PART-029,LOT-00256,2024-01-24 20:25:00,287,M020,OP021,2,PLANT2,completed
PO000257,PART-019,LOT-00257,2024-01-18 15:09:00,229,M011,OP087,2,PLANT3,completed
PO000258,PART-041,LOT-00258,2024-01-30 11:01:00,191,M003,OP043,1,PLANT1,completed
PO000259,PART-025,LOT-00259,2024-01-13 22:21:00,149,M020,OP020,3,PLANT2,completed
PO000260,PART-043,LOT-00260,2024-01-07 10:28:00,489,M012,OP040,1,PLANT3,completed
PO000261,PART-026,LOT-00261,2024-01-06 20:50:00,324,M003,OP040,2,PLANT3,completed
PO000262,PART-022,LOT-00262,2024-01-06 19:35:00,363,M017,OP012,2,PLANT3,completed
PO000263,PART-033,LOT-00263,2024-01-17 11:12:00,29,M012,OP040,1,PLANT1,delayed
PO000264,PART-022,LOT-00264,2024-01-23 03:08:00,118,M008,OP018,3,PLANT1,completed
PO000265,PART-007,LOT-00265,2024-01-24 02:31:00,414,M018,OP095,3,PLANT3,completed
PO000266,PART-022,LOT-00266,2024-01-29 03:03:00,87,M020,OP049,3,PLANT1,completed
PO000267,PART-045,LOT-00267,2024-01-29 10:22:00,434,M006,OP093,1,PLANT2,completed
PO000268,PART-024,LOT-00268,2024-01-11 19:26:00,247,M020,OP037,2,PLANT3,completed
PO000269,PART-015,LOT-00269,2024-01-25 07:16:00,142,M010,OP061,1,PLANT1,completed
PO000270,PART-037,LOT-00270,2024-01-21 01:14:00,256,M010,OP100,3,PLANT2,completed
PO000271,PART-027,LOT-00271,2024-01-08 09:00:00,438,M007,OP078,1,PLANT1,in_progress
PO000272,PART-004,LOT-00272,2024-01-30 04:20:00,266,M012,OP071,3,PLANT1,completed
PO000273,PART-034,LOT-00273,2024-01-06 16:10:00,165,M003,OP098,2,PLANT1,completed
PO000274,PART-033,LOT-00274,2024-01-07 16:56:00,445,M014,OP012,2,PLANT1,in_progress
PO000275,PART-023,LOT-00275,2024-01-02 05:07:00,232,M002,OP051,3,PLANT3,completed
PO000276,PART-025,LOT-00276,2024-01-04 17:08:00,211,M008,OP004,2,PLANT2,delayed
