measurement_id,component_id,lot_id,feature_name,nominal_value,upper_tolerance,lower_tolerance,measured_value,measurement_timestamp,cmm_machine_id,inspector_id,result
M0000098,PART-035,LOT-00098,angle,45,46,44,44.869,1/29/2024 21:54,CMM1,QC003,pass
M0000099,PART-032,LOT-00099,length,20,20.2,19.8,19.902,1/3/2024 9:42,CMM2,QC007,pass
M0000100,PART-047,LOT-00100,angle,45,46,44,45.099,1/10/2024 5:16,CMM3,QC009,pass
M0000101,PART-026,LOT-00101,thickness,5,5.05,4.95,5.004,1/27/2024 22:30,CMM2,QC018,pass
M0000102,PART-030,LOT-00102,bore_diameter,50,50.4,49.6,50.001,1/10/2024 3:29,CMM1,QC019,pass
M0000103,PART-021,LOT-00103,outer_diameter,100,100.5,99.5,99.961,1/16/2024 12:38,CMM2,QC016,pass
M0000104,PART-006,LOT-00104,angle,45,46,44,44.528,1/22/2024 18:42,CMM3,QC009,pass
M0000105,PART-005,LOT-00105,thickness,5,5.05,4.95,4.993,1/31/2024 10:53,CMM3,QC006,pass
M0000106,PART-040,LOT-00106,angle,45,46,44,44.886,1/8/2024 4:26,CMM2,QC009,pass
M0000107,PART-014,LOT-00107,length,20,20.2,19.8,19.947,1/23/2024 22:56,CMM1,QC017,pass
M0000108,PART-039,LOT-00108,angle,45,46,44,44.946,1/7/2024 11:06,CMM2,QC015,pass
M0000109,PART-020,LOT-00109,parallelism,0,0.1,0,0.013,1/28/2024 4:55,CMM2,QC019,pass
M0000110,PART-038,LOT-00110,bore_diameter,50,50.4,49.6,50.251,1/30/2024 12:06,CMM2,QC010,pass
M0000111,PART-039,LOT-00111,thickness,5,5.05,4.95,5.003,1/8/2024 9:13,CMM1,QC010,pass
M0000112,PART-043,LOT-00112,width,10,10.1,9.9,10.009,1/18/2024 23:45,CMM3,QC016,pass
M0000113,PART-027,LOT-00113,parallelism,0,0.1,0,-0.002,1/24/2024 9:25,CMM3,QC006,fail
M0000114,PART-030,LOT-00114,length,20,20.2,19.8,19.872,1/9/2024 12:06,CMM2,QC020,pass
M0000115,PART-018,LOT-00115,bore_diameter,50,50.4,49.6,49.996,1/30/2024 20:44,CMM1,QC010,pass
M0000116,PART-047,LOT-00116,outer_diameter,100,100.5,99.5,100.01,1/28/2024 22:08,CMM3,QC015,pass
M0000117,PART-029,LOT-00117,parallelism,0,0.1,0,0.082,1/12/2024 5:21,CMM3,QC002,pass
M0000118,PART-022,LOT-00118,outer_diameter,100,100.5,99.5,99.968,1/3/2024 4:20,CMM3,QC009,pass
M0000119,PART-017,LOT-00119,parallelism,0,0.1,0,0.01,1/17/2024 1:44,CMM2,QC020,pass
M0000120,PART-034,LOT-00120,thickness,5,5.05,4.95,4.999,1/9/2024 20:41,CMM3,QC009,pass
M0000121,PART-049,LOT-00121,parallelism,0,0.1,0,-0.039,1/12/2024 20:29,CMM2,QC015,fail
M0000122,PART-002,LOT-00122,angle,45,46,44,45.381,1/5/2024 11:38,CMM1,QC011,pass
M0000123,PART-043,LOT-00123,thickness,5,5.05,4.95,5.013,1/29/2024 9:12,CMM3,QC016,pass
M0000124,PART-048,LOT-00124,thickness,5,5.05,4.95,5.013,1/27/2024 11:10,CMM2,QC012,pass
M0000125,PART-017,LOT-00125,parallelism,0,0.1,0,-0.03,1/13/2024 5:48,CMM2,QC005,fail
M0000126,PART-049,LOT-00126,width,10,10.1,9.9,10.047,1/10/2024 20:13,CMM2,QC012,pass
M0000127,PART-038,LOT-00127,angle,45,46,44,44.533,1/26/2024 16:02,CMM3,QC019,pass
M0000128,PART-024,LOT-00128,angle,45,46,44,45.196,1/10/2024 17:59,CMM2,QC016,pass
M0000129,PART-003,LOT-00129,angle,45,46,44,45.73,1/3/2024 17:33,CMM3,QC014,pass
M0000130,PART-049,LOT-00130,flatness,0,0.1,0,-0.046,1/24/2024 0:10,CMM3,QC004,fail
M0000131,PART-029,LOT-00131,width,10,10.1,9.9,9.967,1/17/2024 3:08,CMM1,QC010,pass
M0000132,PART-005,LOT-00132,parallelism,0,0.1,0,0.114,1/20/2024 6:40,CMM3,QC015,fail
M0000133,PART-010,LOT-00133,outer_diameter,100,100.5,99.5,99.906,1/9/2024 1:57,CMM3,QC019,pass
M0000134,PART-008,LOT-00134,parallelism,0,0.1,0,0.003,1/28/2024 5:33,CMM1,QC010,pass
M0000135,PART-015,LOT-00135,outer_diameter,100,100.5,99.5,99.916,1/26/2024 15:47,CMM2,QC019,pass
M0000136,PART-028,LOT-00136,angle,45,46,44,44.483,1/16/2024 6:33,CMM3,QC007,pass
M0000137,PART-007,LOT-00137,parallelism,0,0.1,0,0.002,1/11/2024 9:57,CMM3,QC013,pass
M0000138,PART-016,LOT-00138,bore_diameter,50,50.4,49.6,49.858,1/8/2024 22:51,CMM1,QC020,pass
M0000139,PART-045,LOT-00139,flatness,0,0.1,0,0.016,1/28/2024 4:36,CMM2,QC012,pass
M0000140,PART-019,LOT-00140,bore_diameter,50,50.4,49.6,49.877,1/21/2024 17:55,CMM1,QC015,pass
M0000141,PART-013,LOT-00141,bore_diameter,50,50.4,49.6,50.207,1/21/2024 13:21,CMM3,QC009,pass
M0000142,PART-018,LOT-00142,bore_diameter,50,50.4,49.6,49.896,1/8/2024 14:21,CMM3,QC020,pass
M0000143,PART-037,LOT-00143,length,20,20.2,19.8,19.979,1/14/2024 23:14,CMM2,QC004,pass
M0000144,PART-026,LOT-00144,flatness,0,0.1,0,0.027,1/13/2024 18:21,CMM1,QC012,pass
M0000145,PART-003,LOT-00145,width,10,10.1,9.9,9.959,1/22/2024 4:53,CMM2,QC015,pass
M0000146,PART-015,LOT-00146,flatness,0,0.1,0,0.008,1/28/2024 2:16,CMM1,QC014,pass
M0000147,PART-037,LOT-00147,parallelism,0,0.1,0,0.044,1/3/2024 18:56,CMM3,QC012,pass
M0000148,PART-018,LOT-00148,flatness,0,0.1,0,0.115,1/10/2024 16:14,CMM3,QC007,fail
M0000149,PART-031,LOT-00149,thickness,5,5.05,4.95,4.973,1/17/2024 9:03,CMM1,QC012,pass
M0000150,PART-011,LOT-00150,outer_diameter,100,100.5,99.5,100.031,1/17/2024 15:14,CMM1,QC003,pass
M0000151,PART-049,LOT-00151,thickness,5,5.05,4.95,5.004,1/27/2024 14:51,CMM2,QC010,pass
M0000152,PART-008,LOT-00152,length,20,20.2,19.8,20.052,1/20/2024 4:28,CMM3,QC008,pass
M0000153,PART-030,LOT-00153,flatness,0,0.1,0,-0.041,1/21/2024 14:22,CMM1,QC011,fail
M0000154,PART-032,LOT-00154,parallelism,0,0.1,0,-0.044,1/31/2024 9:06,CMM3,QC014,fail
M0000155,PART-019,LOT-00155,parallelism,0,0.1,0,0.017,1/21/2024 2:32,CMM3,QC009,pass
M0000156,PART-039,LOT-00156,bore_diameter,50,50.4,49.6,50.04,1/13/2024 15:22,CMM1,QC002,pass
M0000157,PART-027,LOT-00157,parallelism,0,0.1,0,0.008,1/5/2024 19:48,CMM2,QC014,pass
M0000158,PART-010,LOT-00158,angle,45,46,44,45.115,1/24/2024 1:21,CMM2,QC001,pass
M0000159,PART-031,LOT-00159,length,20,20.2,19.8,19.955,1/23/2024 8:47,CMM1,QC014,pass
M0000160,PART-039,LOT-00160,width,10,10.1,9.9,10.008,1/25/2024 9:08,CMM3,QC009,pass
M0000161,PART-027,LOT-00161,outer_diameter,100,100.5,99.5,100.049,1/17/2024 19:14,CMM3,QC013,pass
M0000162,PART-020,LOT-00162,flatness,0,0.1,0,-0.024,1/27/2024 23:05,CMM1,QC005,fail
M0000163,PART-023,LOT-00163,length,20,20.2,19.8,20.124,1/16/2024 13:06,CMM1,QC009,pass
M0000164,PART-013,LOT-00164,length,20,20.2,19.8,20.032,1/12/2024 6:50,CMM2,QC003,pass
M0000165,PART-048,LOT-00165,outer_diameter,100,100.5,99.5,99.801,1/24/2024 5:36,CMM3,QC019,pass
M0000166,PART-042,LOT-00166,length,20,20.2,19.8,20.044,1/9/2024 13:08,CMM2,QC013,pass
M0000167,PART-022,LOT-00167,angle,45,46,44,44.675,1/6/2024 5:37,CMM3,QC009,pass
M0000168,PART-001,LOT-00168,flatness,0,0.1,0,0.026,1/9/2024 9:27,CMM1,QC006,pass
M0000169,PART-017,LOT-00169,angle,45,46,44,45.386,1/17/2024 5:47,CMM2,QC010,pass
M0000170,PART-044,LOT-00170,outer_diameter,100,100.5,99.5,99.863,1/25/2024 12:51,CMM3,QC018,pass
M0000171,PART-032,LOT-00171,angle,45,46,44,45.321,1/26/2024 14:56,CMM2,QC007,pass
M0000172,PART-019,LOT-00172,bore_diameter,50,50.4,49.6,50.055,1/11/2024 17:28,CMM1,QC007,pass
M0000173,PART-046,LOT-00173,outer_diameter,100,100.5,99.5,100.137,1/6/2024 2:46,CMM2,QC014,pass
M0000174,PART-003,LOT-00174,thickness,5,5.05,4.95,5.032,1/17/2024 4:18,CMM2,QC016,pass
M0000175,PART-010,LOT-00175,outer_diameter,100,100.5,99.5,99.959,1/13/2024 20:43,CMM1,QC006,pass
M0000176,PART-011,LOT-00176,bore_diameter,50,50.4,49.6,49.9,1/9/2024 15:13,CMM3,QC017,pass
M0000177,PART-032,LOT-00177,width,10,10.1,9.9,9.97,1/28/2024 8:57,CMM2,QC002,pass
M0000178,PART-017,LOT-00178,outer_diameter,100,100.5,99.5,99.864,1/2/2024 14:15,CMM1,QC018,pass
M0000179,PART-005,LOT-00179,width,10,10.1,9.9,9.997,1/21/2024 2:29,CMM1,QC001,pass
M0000180,PART-045,LOT-00180,parallelism,0,0.1,0,0.011,1/13/2024 10:10,CMM2,QC015,pass
M0000181,PART-007,LOT-00181,parallelism,0,0.1,0,-0.05,1/13/2024 13:05,CMM3,QC016,fail
M0000182,PART-045,LOT-00182,flatness,0,0.1,0,0.009,1/15/2024 20:28,CMM1,QC015,pass
M0000183,PART-044,LOT-00183,flatness,0,0.1,0,0.028,1/4/2024 19:34,CMM2,QC001,pass
M0000184,PART-019,LOT-00184,parallelism,0,0.1,0,0,1/12/2024 17:21,CMM3,QC003,pass
M0000185,PART-017,LOT-00185,flatness,0,0.1,0,0.048,1/31/2024 6:00,CMM2,QC005,pass
M0000186,PART-042,LOT-00186,bore_diameter,50,50.4,49.6,49.965,1/4/2024 4:03,CMM3,QC013,pass
M0000187,PART-009,LOT-00187,bore_diameter,50,50.4,49.6,50.363,1/5/2024 8:26,CMM3,QC013,pass
M0000188,PART-013,LOT-00188,width,10,10.1,9.9,9.863,1/8/2024 0:21,CMM2,QC011,fail
M0000189,PART-018,LOT-00189,flatness,0,0.1,0,0.021,1/9/2024 14:43,CMM2,QC010,pass
M0000190,PART-008,LOT-00190,outer_diameter,100,100.5,99.5,99.857,1/22/2024 12:32,CMM2,QC002,pass
M0000191,PART-047,LOT-00191,angle,45,46,44,44.643,1/20/2024 21:04,CMM1,QC020,pass
M0000192,PART-001,LOT-00192,bore_diameter,50,50.4,49.6,50.064,1/13/2024 16:51,CMM3,QC002,pass
M0000193,PART-044,LOT-00193,parallelism,0,0.1,0,-0.007,1/13/2024 12:21,CMM2,QC005,fail
M0000194,PART-015,LOT-00194,angle,45,46,44,45.238,1/22/2024 17:58,CMM3,QC020,pass
M0000195,PART-015,LOT-00195,parallelism,0,0.1,0,0.016,1/30/2024 18:24,CMM3,QC003,pass
M0000196,PART-008,LOT-00196,angle,45,46,44,44.976,1/7/2024 14:40,CMM1,QC013,pass
M0000197,PART-016,LOT-00197,length,20,20.2,19.8,19.944,1/26/2024 16:08,CMM1,QC015,pass
M0000198,PART-048,LOT-00198,thickness,5,5.05,4.95,4.975,1/26/2024 11:02,CMM1,QC003,pass
M0000199,PART-027,LOT-00199,width,10,10.1,9.9,9.985,1/31/2024 20:20,CMM3,QC005,pass
M0000200,PART-018,LOT-00200,angle,45,46,44,45.285,1/3/2024 12:44,CMM1,QC005,pass
M0000201,PART-016,LOT-00201,length,20,20.2,19.8,20.014,1/19/2024 0:08,CMM3,QC001,pass
M0000202,PART-026,LOT-00202,parallelism,0,0.1,0,-0.042,1/14/2024 6:20,CMM3,QC001,fail
M0000203,PART-042,LOT-00203,length,20,20.2,19.8,20.012,1/31/2024 16:29,CMM1,QC007,pass
M0000204,PART-009,LOT-00204,angle,45,46,44,45.128,1/28/2024 16:40,CMM3,QC010,pass
M0000205,PART-014,LOT-00205,width,10,10.1,9.9,9.971,1/13/2024 5:29,CMM3,QC003,pass
M0000206,PART-010,LOT-00206,bore_diameter,50,50.4,49.6,50.02,1/8/2024 1:59,CMM1,QC011,pass
M0000207,PART-002,LOT-00207,outer_diameter,100,100.5,99.5,100.01,1/7/2024 20:57,CMM2,QC013,pass
M0000208,PART-012,LOT-00208,width,10,10.1,9.9,9.962,1/14/2024 22:51,CMM2,QC004,pass
M0000209,PART-048,LOT-00209,bore_diameter,50,50.4,49.6,50.048,1/5/2024 20:25,CMM1,QC010,pass
M0000210,PART-007,LOT-00210,bore_diameter,50,50.4,49.6,50.075,1/23/2024 13:42,CMM1,QC005,pass
M0000211,PART-043,LOT-00211,width,10,10.1,9.9,10.036,1/26/2024 5:33,CMM2,QC012,pass
M0000212,PART-031,LOT-00212,parallelism,0,0.1,0,0.035,1/19/2024 6:40,CMM1,QC011,pass
M0000213,PART-005,LOT-00213,parallelism,0,0.1,0,-0.046,1/5/2024 23:14,CMM1,QC016,fail
M0000214,PART-040,LOT-00214,bore_diameter,50,50.4,49.6,49.875,1/30/2024 17:29,CMM2,QC017,pass
M0000215,PART-039,LOT-00215,parallelism,0,0.1,0,0.017,1/26/2024 15:30,CMM2,QC003,pass
M0000216,PART-045,LOT-00216,length,20,20.2,19.8,20.034,1/8/2024 0:58,CMM2,QC001,pass
M0000217,PART-015,LOT-00217,angle,45,46,44,45.172,1/20/2024 20:59,CMM2,QC018,pass
M0000218,PART-021,LOT-00218,width,10,10.1,9.9,10.128,1/22/2024 2:08,CMM3,QC019,fail
M0000219,PART-031,LOT-00219,angle,45,46,44,45.19,1/5/2024 5:19,CMM2,QC018,pass
M0000220,PART-048,LOT-00220,thickness,5,5.05,4.95,5.019,1/19/2024 10:01,CMM2,QC013,pass
M0000221,PART-036,LOT-00221,parallelism,0,0.1,0,0.032,1/28/2024 7:30,CMM2,QC002,pass
M0000222,PART-049,LOT-00222,bore_diameter,50,50.4,49.6,50.087,1/20/2024 19:57,CMM2,QC011,pass
M0000223,PART-007,LOT-00223,parallelism,0,0.1,0,-0.011,1/29/2024 1:14,CMM1,QC003,fail
M0000224,PART-007,LOT-00224,parallelism,0,0.1,0,0.025,1/17/2024 0:25,CMM1,QC008,pass
M0000225,PART-037,LOT-00225,length,20,20.2,19.8,19.948,1/12/2024 9:01,CMM3,QC015,pass
M0000226,PART-042,LOT-00226,angle,45,46,44,44.921,1/27/2024 15:06,CMM2,QC011,pass
M0000227,PART-012,LOT-00227,outer_diameter,100,100.5,99.5,99.919,1/14/2024 5:29,CMM3,QC009,pass
M0000228,PART-010,LOT-00228,bore_diameter,50,50.4,49.6,50.011,1/28/2024 14:34,CMM2,QC007,pass
M0000229,PART-002,LOT-00229,outer_diameter,100,100.5,99.5,100.386,1/6/2024 2:13,CMM2,QC001,pass
M0000230,PART-022,LOT-00230,angle,45,46,44,44.378,1/8/2024 13:55,CMM2,QC002,pass
M0000231,PART-037,LOT-00231,parallelism,0,0.1,0,0.023,1/29/2024 16:14,CMM2,QC019,pass
M0000232,PART-004,LOT-00232,thickness,5,5.05,4.95,4.973,1/5/2024 19:06,CMM1,QC004,pass
M0000233,PART-029,LOT-00233,outer_diameter,100,100.5,99.5,99.921,1/21/2024 8:23,CMM2,QC013,pass
M0000234,PART-028,LOT-00234,thickness,5,5.05,4.95,5.018,1/7/2024 0:07,CMM2,QC012,pass
M0000235,PART-003,LOT-00235,flatness,0,0.1,0,0.002,1/11/2024 9:51,CMM3,QC019,pass
M0000236,PART-014,LOT-00236,parallelism,0,0.1,0,-0.036,1/8/2024 5:53,CMM3,QC019,fail
M0000237,PART-032,LOT-00237,width,10,10.1,9.9,9.976,1/21/2024 11:23,CMM2,QC001,pass
M0000238,PART-033,LOT-00238,width,10,10.1,9.9,10.023,1/28/2024 0:16,CMM3,QC009,pass
M0000239,PART-003,LOT-00239,flatness,0,0.1,0,-0.024,1/21/2024 18:28,CMM3,QC014,fail
M0000240,PART-037,LOT-00240,bore_diameter,50,50.4,49.6,50.029,1/20/2024 9:44,CMM3,QC019,pass
M0000241,PART-021,LOT-00241,length,20,20.2,19.8,20.003,1/10/2024 12:43,CMM3,QC014,pass
